"receiver","amount","dueToDate","dueToDurationCode","cleared"
"0x9F6A694cA1c9C8CbeC17f75282778444d16Fdd65",2005.769999999999934464,"Tue, 05 Mar 2024 17:47:21 GMT",4,"true"
"0x128C8c805DA373574cC4f98e2bf725da4892d1cC",439.38,"Wed, 06 Mar 2024 19:21:41 GMT",4,"true"
"0x3Ed97069912e198C35fB7D924618e5fE8081B093",26.35,"Thu, 07 Mar 2024 18:40:08 GMT",4,"true"
"0x583B4D6Be74beA8a5CdF0A36574053Edc344331f",204.1,"Fri, 08 Mar 2024 01:03:49 GMT",4,"true"
"0x40cD4800E2F4CDCd3f0115Aefd9519Abf4a2b84D",212.45,"Fri, 08 Mar 2024 09:10:12 GMT",4,"true"
"0x44AA91443cd386AD0526796E650695BAB9da5a21",71.879999999999991808,"Fri, 08 Mar 2024 10:12:08 GMT",4,"true"
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",0.01,"Fri, 08 Mar 2024 15:42:46 GMT",2,"true"
"0x6D9FE6B85Ff5d90639c89E48fF77C70b7477B8B6",2565.689999999999934464,"Mon, 11 Mar 2024 02:27:41 GMT",4,"true"
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",2.0,"Mon, 11 Mar 2024 16:53:02 GMT",3,"true"
"0x36195f583D288ACe3585a37bFB9076096F9119b5",1479.849999999999934464,"Tue, 12 Mar 2024 18:00:16 GMT",4,"true"
"0x95e90cc769EdF0cdBe9ff8A45b656D8316977bb2",404.9,"Wed, 13 Mar 2024 03:18:00 GMT",4,"true"
"0x40e131C84Dc5D7AADd69EE7dF1fa54fd162CFa06",291.13,"Wed, 13 Mar 2024 11:10:41 GMT",4,"true"
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",0.1,"Fri, 15 Mar 2024 15:27:40 GMT",3,"true"
"0x9E7a7746cBC10Df47fbe5bb63De6F40Df2755999",238.0,"Sat, 16 Mar 2024 11:30:22 GMT",4,"true"
"0xabD259AC0D3e94Ae65793B68cCbC0b6870E43Aa9",163.91,"Sun, 17 Mar 2024 01:10:35 GMT",4,"true"
"0x78F187b1fa299271A39aea768b3C2d2ec4a7d12f",1242.299999999999868928,"Sun, 17 Mar 2024 04:40:18 GMT",4,"true"
"0xD069aF03110e7b0E6869DFEBb4aa36B0280e88F6",2460.0,"Sun, 17 Mar 2024 15:10:58 GMT",4,"true"
"0x99937BB7a739787933392415b16a729B149dEAb4",0.51,"Sun, 17 Mar 2024 20:52:30 GMT",4,"true"
"0x8BB046a2A09eb2edd8671BD9f243810a850f3883",173.22,"Sun, 17 Mar 2024 23:33:39 GMT",4,"true"
"0x9438bfcE94d43D303BcaaFa035d71A88cCF839B7",1700.0,"Sun, 17 Mar 2024 23:39:39 GMT",4,"true"
"0xE843333827c3505d57aB3C64807550ae52E910aA",72.7,"Mon, 18 Mar 2024 12:33:28 GMT",4,"true"
"0x02cB7D03df28420027Ac8DB022328e00d2789dc4",3119.800000000000262144,"Tue, 19 Mar 2024 10:12:47 GMT",4,"true"
"0xEfD8AD10bE340fC83C9f338A8C3af35063ccbDFf",4714.88,"Tue, 19 Mar 2024 21:37:34 GMT",4,"true"
"0x71399e970fc6Af7F5A0Ed1FE7Eb9e450cBd3BD21",98.0,"Wed, 20 Mar 2024 08:35:15 GMT",4,"true"
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",2.12,"Thu, 21 Mar 2024 12:15:36 GMT",3,"true"
"0x2495d0E621b8F3895Ebe0ee2987EDb9A193fbbce",311.12,"Thu, 21 Mar 2024 15:05:06 GMT",4,"true"
